symbol,final_score,whale,technical,valuation,moat,quant,macro,risk
SOUTHBANK,0.6564,0.3012603064328098,0.5076767676767677,0.925,0.5357142857142857,0.7777777777777777,0.6875,0.3632478632478633
BPCL,0.6533,0.3081974650091943,0.5759595959595959,0.925,0.6071428571428572,0.4444444444444445,0.8749999999999999,0.3632478632478633
HDFCBANK,0.6317,0.6875810394668036,0.6541414141414141,0.7,0.5,0.3333333333333333,0.6875,0.0
SBIN,0.5864,0.3357115690425769,0.464040404040404,0.85,0.6428571428571429,0.22222222222222224,0.6875,0.1495726495726496
J&KBANK,0.5835,0.09681162760602015,0.5169696969696969,0.85,0.5357142857142857,0.4444444444444445,0.6875,0.3632478632478633
PNB,0.5772,0.21228692739619207,0.38707070707070695,0.925,0.5714285714285715,0.4444444444444445,0.6875,0.3632478632478633
ICICIBANK,0.5721,0.7049115922092302,0.5836363636363636,0.65,0.7142857142857143,0.0,0.6875,0.1495726495726496
HUDCO,0.5646,0.1040573786457669,0.44444444444444453,0.85,0.7500000000000001,0.22222222222222224,0.6875,0.3632478632478633
ITC,0.5609,0.6109266715676087,0.43030303030303035,0.65,0.8571428571428572,0.4444444444444445,0.12499999999999997,0.1495726495726496
MUTHOOTFIN,0.557,0.17600879740332032,0.5513131313131313,0.8,0.9285714285714287,0.0,0.6875,0.576923076923077
INDIGO,0.5555,0.5202869179162316,0.7824242424242425,0.25,0.35714285714285715,0.4444444444444445,1.0,0.3632478632478633
FEDERALBNK,0.5552,0.6882969739818041,0.5266666666666666,0.7,0.5357142857142857,0.0,0.6875,0.0
RECLTD,0.5493,0.26327874604217816,0.43717171717171716,0.85,0.6071428571428572,0.22222222222222224,0.6875,0.3632478632478633
COALINDIA,0.548,0.29675485646772026,0.29515151515151533,0.925,0.8214285714285714,0.0,0.8749999999999999,0.3632478632478633
INDUSINDBK,0.547,0.6197030412256325,0.7137373737373737,0.1,0.35714285714285715,0.7777777777777777,0.6875,0.21367521367521367
