symbol,final_score,whale,technical,valuation,moat,quant,macro,risk
ONGC,0.7889,0.2597788247921919,0.9607928937119853,1.0,0.13043478260869562,1.0,0.8749999999999999,0.21367521367521367
POWERGRID,0.6456,0.41272057612141483,0.9429396578129786,0.65,0.4782608695652173,0.0,0.8749999999999999,0.0
AXISBANK,0.6405,0.8403933501410348,0.8974314094429615,0.85,0.4782608695652173,0.0,0.6875,0.3632478632478633
MUTHOOTFIN,0.6378,0.17279898155313148,0.9161160460333435,0.8,1.0,0.0,0.6875,0.7863247863247863
COALINDIA,0.6309,0.29851975737001074,0.9767645385726162,0.875,0.3043478260869565,0.0,0.8749999999999999,0.3632478632478633
DRREDDY,0.6289,0.6273183395322133,0.9269680129523475,0.65,0.4782608695652173,0.4444444444444445,0.18749999999999994,0.21367521367521367
FEDERALBNK,0.6167,0.6437308105139661,0.9094210825712161,0.7,0.5652173913043478,0.0,0.6875,0.3632478632478633
PFC,0.6041,0.2640847832056114,0.9522163392114821,0.85,0.4782608695652173,0.0,0.6875,0.576923076923077
SBIN,0.5988,0.33033374104490654,0.8899925611517088,0.85,0.5217391304347825,0.0,0.6875,0.5726495726495727
CANBK,0.5986,0.12612016674571278,0.8774777928499541,0.925,0.6521739130434782,0.0,0.6875,0.7863247863247863
PNB,0.5896,0.20220413868850004,0.8781779197479543,0.925,0.5652173913043478,0.0,0.6875,0.7863247863247863
NTPC,0.5778,0.4588128104640423,0.9323064805495996,0.55,0.3043478260869565,0.0,0.8749999999999999,0.21367521367521367
BANKBARODA,0.5739,0.23167171313746535,0.8619437273005732,0.925,0.4782608695652173,0.0,0.6875,0.7863247863247863
NMDC,0.5717,0.21515938194253764,0.9359383888329761,0.925,0.5217391304347825,0.0,0.0,0.3632478632478633
BPCL,0.5605,0.30253862859139813,0.9277118977814729,0.925,0.13043478260869562,0.0,0.8749999999999999,0.7863247863247863
