symbol,final_score,whale,technical,valuation,moat,quant,macro,risk
BAJAJHLDNG,0.6862,0.12379756373226171,0.7553052135184699,0.8,0.6538461538461539,0.5714285714285715,0.6875,0.21367521367521367
PNB,0.6497,0.20242370965716439,0.6023054755043226,0.925,0.6153846153846154,0.4285714285714286,0.6875,0.21367521367521367
POWERGRID,0.6321,0.41839755117418065,0.7744301807702385,0.85,0.5,0.0,0.8749999999999999,0.1495726495726496
IIFL,0.6129,0.17415546904433002,0.8011527377521614,0.85,0.5769230769230769,0.0,0.6875,0.21367521367521367
PFC,0.5974,0.2857465779228934,0.7626408173958605,0.925,0.5,0.0,0.6875,0.3632478632478633
HEROMOTOCO,0.5931,0.4379128218008288,0.9284778621954415,0.5,0.3076923076923077,0.4285714285714286,0.49999999999999994,0.21367521367521367
ONGC,0.5792,0.25239231445435134,0.3177888394026722,1.0,0.1923076923076923,0.5714285714285715,0.8749999999999999,0.1495726495726496
UNIONBANK,0.5768,0.14543513751098833,0.6266701598113702,0.85,0.3076923076923077,0.4285714285714286,0.6875,0.3632478632478633
SBIN,0.5621,0.32664824814768295,0.47524233691380646,0.85,0.7307692307692307,0.0,0.6875,0.21367521367521367
NMDC,0.5601,0.21900037674243375,0.473408435944459,0.925,0.5,0.5714285714285715,0.0,0.1495726495726496
ICICIBANK,0.5438,0.707936707271129,0.4000523971705524,0.65,0.7307692307692307,0.0,0.6875,0.0
NTPC,0.5378,0.44525932437523547,0.40136232643437264,0.925,0.3846153846153846,0.0,0.8749999999999999,0.1495726495726496
MUTHOOTFIN,0.5343,0.17475824438025872,0.3324600471574536,0.8,1.0,0.0,0.6875,0.3632478632478633
ASTRAL,0.5332,0.32418686424714305,0.8001047943411055,0.0,0.3076923076923077,0.7142857142857143,1.0,0.3632478632478633
COALINDIA,0.5295,0.28897400477207086,0.35315692952580574,0.925,0.4615384615384615,0.0,0.8749999999999999,0.1495726495726496
